"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
3/27/2014,558.46,559.7692507,0.234439484
3/28/2014,559.99,558.5219691,0.262153055
3/31/2014,556.97,565.2742496,1.49096893
4/1/2014,567.16,564.8277687,0.411212236
4/2/2014,567,568.7543873,0.309415751
4/3/2014,569.74,542.0636048,4.857723737
4/4/2014,543.14,540.7398844,0.441896304
4/7/2014,538.15,556.1310982,3.341279971
4/8/2014,554.9,562.4257102,1.356228186
4/9/2014,564.14,540.1869553,4.245939791
4/10/2014,540.95,531.7147532,1.707227435
4/11/2014,530.6,531.4825196,0.166324842
4/14/2014,532.52,536.4855921,0.744684163
4/15/2014,536.44,554.1282531,3.297340444
4/16/2014,556.54,535.2982397,3.816753576
4/17/2014,536.1,530.7858855,0.99125433
4/21/2014,528.62,534.8514972,1.178823578
4/22/2014,534.81,526.4237069,1.568088319
4/23/2014,526.94,525.7655293,0.222885095
4/24/2014,525.16,515.6411506,1.812561767
4/25/2014,516.18,517.8718737,0.327768169
4/28/2014,517.15,527.4385216,1.989465654
4/29/2014,527.7,526.7613891,0.177868271
4/30/2014,526.66,531.2583793,0.873121055
5/1/2014,531.35,528.3108567,0.571966362
5/2/2014,527.93,527.0381328,0.168936647
5/5/2014,527.81,515.7419587,2.286436657
5/6/2014,515.14,509.6744758,1.060978422
5/7/2014,509.96,513.2731105,0.649680474
5/8/2014,511,520.8224224,1.922196157
5/9/2014,518.73,530.3516406,2.240402631
5/12/2014,529.92,534.1914229,0.806050509
5/13/2014,533.09,526.5445435,1.227833293
5/14/2014,526.65,520.5795726,1.152649267
5/15/2014,519.98,522.3301213,0.451963783
5/16/2014,520.63,529.6714313,1.736632792
5/19/2014,528.86,530.5648262,0.322358687
5/20/2014,529.77,540.0552985,1.941464879
5/21/2014,538.94,546.3320652,1.371593345
5/22/2014,545.06,552.9925645,1.455356191
5/23/2014,552.7,564.6552736,2.163067417
5/27/2014,565.95,560.1901846,1.017725136
5/28/2014,561.68,561.2785331,0.071476093
5/29/2014,560.08,558.5267699,0.277322903
5/30/2014,559.89,554.0600968,1.041258679
6/2/2014,553.93,545.6429023,1.496055044
6/3/2014,544.94,545.7363137,0.146128699
6/4/2014,544.66,556.6129868,2.19457768
6/5/2014,553.9,558.5784987,0.844646809
6/6/2014,556.33,565.2491695,1.603215634
6/9/2014,562.12,561.958275,0.028770545
6/10/2014,560.55,558.1918562,0.420683936
6/11/2014,558.84,553.4779644,0.959493877
6/12/2014,551.35,552.3506857,0.181497359
6/13/2014,551.76,545.0958201,1.207804101
6/16/2014,544.28,545.5981324,0.242179103
6/17/2014,543.01,555.0102344,2.209947217
6/18/2014,553.37,554.7475365,0.248935891
6/19/2014,554.9,559.0346443,0.745115207
6/20/2014,556.36,564.162622,1.402441222
6/23/2014,564.95,567.015707,0.365644218
6/24/2014,564.62,577.5602069,2.291843528
6/25/2014,578.65,580.304748,0.285966999
6/26/2014,576,577.8921751,0.328502621
6/27/2014,577.24,574.6884771,0.442021158
6/30/2014,575.28,583.7085491,1.465121173
7/1/2014,582.67,581.8733436,0.136725153
7/2/2014,582.335,584.4583053,0.364619216
7/3/2014,584.73,581.0970726,0.621299987
7/7/2014,582.25,572.585872,1.659790126
7/8/2014,571.09,579.3109844,1.439525181
7/9/2014,576.08,575.82854,0.043650195
7/10/2014,571.1,583.3828465,2.150734806
7/11/2014,579.18,589.6622339,1.809840445
7/14/2014,584.87,587.3560691,0.425063538
7/15/2014,584.78,583.5154151,0.216249683
7/16/2014,582.66,576.3392333,1.084812181
7/17/2014,573.7299,597.4104032,4.127465412
7/18/2014,595.08,590.9436665,0.695088637
7/21/2014,589.47,594.7155614,0.889877583
7/22/2014,594.74,596.8564532,0.355861916
7/23/2014,595.98,593.9118748,0.347012513
7/24/2014,593.35,588.5420862,0.810299797
7/25/2014,589.02,591.3388326,0.393676377
7/28/2014,590.6,586.7919667,0.644773667
7/29/2014,585.61,585.9364158,0.055739455
7/30/2014,587.42,570.8356249,2.823256794
7/31/2014,571.6,566.6404283,0.867664743
8/1/2014,566.07,573.4973909,1.312097597
8/4/2014,573.15,565.9815496,1.250711055
8/5/2014,565.07,565.2002024,0.023041812
8/6/2014,566.374,564.8476929,0.269487498
8/7/2014,563.36,569.3632064,1.065607505
8/8/2014,568.77,568.4279784,0.06013355
8/11/2014,567.88,566.4235248,0.256475874
8/12/2014,562.73,574.1492778,2.029264079
8/13/2014,574.78,574.9471954,0.029088585
8/14/2014,574.65,574.7544242,0.018171799
8/15/2014,573.48,581.4116478,1.383073134
8/18/2014,582.16,587.2255577,0.87013153
8/19/2014,586.86,584.3835438,0.421984146
8/20/2014,584.49,583.4334398,0.180766165
8/21/2014,583.37,582.3391597,0.176704379
8/22/2014,582.56,577.3431934,0.895496881
8/25/2014,580.2,574.3965479,1.000250268
8/26/2014,577.86,565.7828172,2.089984216
8/27/2014,571,562.3956211,1.506896477
8/28/2014,569.2,567.4833544,0.301589177
8/29/2014,571.6,573.3854326,0.312356992
9/2/2014,577.33,577.0817275,0.043003571
9/3/2014,577.94,583.2955271,0.926657974
9/4/2014,581.98,592.3605767,1.783665532
9/5/2014,586.08,597.9521552,2.025688511
9/8/2014,589.72,585.9173256,0.644827098
9/9/2014,581.01,583.0601825,0.352865269
9/10/2014,583.1,581.6709656,0.245075349
9/11/2014,581.35,579.6440327,0.293449267
9/12/2014,575.62,581.250063,0.978086762
9/15/2014,573.1,585.8190978,2.219350506
9/16/2014,579.95,586.3680397,1.106653976
9/17/2014,584.77,590.7688813,1.025853115
9/18/2014,589.27,596.9338755,1.300571125
9/19/2014,596.08,583.5811122,2.096847372
9/22/2014,587.37,580.1291151,1.232763829
9/23/2014,581.13,589.2684711,1.400456195
9/24/2014,587.99,586.176507,0.30842242
9/25/2014,575.06,582.0749648,1.219866591
9/26/2014,577.1,580.4900589,0.587430056
9/29/2014,576.36,573.9620022,0.416059022
9/30/2014,577.36,572.0604072,0.917900935
10/1/2014,568.27,578.1103546,1.731633663
10/2/2014,570.08,579.2092882,1.601404753
10/3/2014,575.28,574.1521961,0.19604434
10/6/2014,577.35,563.748578,2.355836495
10/7/2014,563.74,574.6204045,1.930039466
10/8/2014,572.5,561.8855476,1.854052829
10/9/2014,560.88,544.4741954,2.925011511
10/10/2014,544.49,534.1281757,1.903032993
10/13/2014,533.21,537.906195,0.880740227
10/14/2014,537.94,531.1336821,1.265255953
10/15/2014,530.03,526.0551573,0.74992788
10/16/2014,524.51,513.4617168,2.10640087
10/17/2014,511.17,522.6644454,2.248654141
10/20/2014,520.84,528.9217399,1.551674198
10/21/2014,526.54,537.5655022,2.093953393
10/22/2014,532.71,546.5366575,2.595531804
10/23/2014,543.98,543.2414076,0.135775662
10/24/2014,539.78,541.6837455,0.352689158
10/27/2014,540.77,549.6960921,1.65062635
10/28/2014,548.9,551.7000311,0.510116801
10/29/2014,549.33,554.4879893,0.938960062
10/30/2014,550.31,561.7237425,2.074056892
10/31/2014,559.08,552.1534132,1.238925883
11/3/2014,555.22,551.6333373,0.64598947
11/4/2014,554.11,544.3010687,1.77021373
11/5/2014,545.92,542.7637943,0.578144367
11/6/2014,542.04,542.3363704,0.054676845
11/7/2014,541.01,549.5485387,1.578258937
11/10/2014,547.49,551.3214249,0.699816423
11/11/2014,550.29,546.773044,0.639109569
11/12/2014,547.31,545.3841864,0.351868881
11/13/2014,545.38,544.4681117,0.167202368
11/14/2014,544.4,538.9459521,1.00184569
11/17/2014,536.51,537.3598846,0.158409832
11/18/2014,535.03,542.5082932,1.397733435
11/19/2014,536.99,537.7564459,0.142730007
11/20/2014,534.83,539.1370191,0.805306188
11/21/2014,537.5,539.0923657,0.296254089
11/24/2014,539.27,540.7815948,0.28030389
11/25/2014,541.08,540.9405805,0.025766897
11/26/2014,540.37,542.0852458,0.317420623
11/28/2014,541.83,534.1177894,1.423363521
12/1/2014,533.8,532.8591495,0.176255249
12/2/2014,533.75,533.9631457,0.039933627
12/3/2014,531.32,538.2547033,1.30518394
12/4/2014,537.31,526.1876963,2.069997522
12/5/2014,525.26,528.6375793,0.643029977
12/8/2014,526.98,532.3995061,1.028408306
12/9/2014,533.37,528.6301856,0.888654114
12/10/2014,526.06,530.1458389,0.776686856
12/11/2014,528.34,523.4784761,0.920150651
12/12/2014,518.66,518.5787151,0.015672098
12/15/2014,513.8,497.8331501,3.107600213
12/16/2014,495.39,509.2884882,2.805564939
12/17/2014,504.89,514.1170702,1.827540687
12/18/2014,511.1,519.0779248,1.560932267
12/19/2014,516.35,525.546484,1.781056258
12/22/2014,524.87,531.0492626,1.177293923
12/23/2014,530.59,527.9660693,0.494530756
12/24/2014,528.77,533.6065875,0.914686433
12/26/2014,534.03,528.9921639,0.943362
12/29/2014,530.33,530.3634561,0.006308551
12/30/2014,530.42,525.7691759,0.876819134
12/31/2014,526.4,524.4272217,0.374767911
1/2/2015,524.81,514.1406402,2.032994752
1/5/2015,513.87,502.4932237,2.213940552
1/6/2015,501.96,502.099687,0.027828313
1/7/2015,501.1,504.6163064,0.701717493
1/8/2015,502.68,499.5269876,0.627240473
1/9/2015,496.17,496.5147169,0.069475563
1/12/2015,492.55,501.7118914,1.860093673
1/13/2015,496.18,501.9428122,1.161435805
1/14/2015,500.87,504.6601334,0.756709999
1/15/2015,501.79,507.9798579,1.233555452
1/16/2015,508.08,510.2700125,0.431036946
1/20/2015,506.9,522.5803645,3.093384202
1/21/2015,518.04,537.1730167,3.69334736
1/22/2015,534.39,540.3459706,1.114536316
1/23/2015,539.95,530.3672327,1.774750871
1/26/2015,535.21,517.8181732,3.249533221
1/27/2015,518.63,509.8489545,1.693123321
1/28/2015,510,511.8159635,0.356071281
1/29/2015,510.66,534.034644,4.57733991
1/30/2015,534.52,529.8415221,0.875267132
2/2/2015,528.48,533.0064464,0.85650287
2/3/2015,529.24,524.4484442,0.905365384
2/4/2015,522.76,528.9017456,1.174869086
2/5/2015,527.58,530.5983022,0.572103228
2/6/2015,531,530.4447236,0.104571835
2/9/2015,527.83,539.0758821,2.130587892
2/10/2015,536.94,538.6052145,0.310130455
2/11/2015,535.97,547.836451,2.214014027
2/12/2015,542.93,549.8617181,1.276724091
2/13/2015,549.01,544.8014426,0.766572085
2/17/2015,542.84,539.0228314,0.70318484
2/18/2015,539.7,544.6624977,0.91949189
2/19/2015,542.87,544.0177298,0.211418907
2/20/2015,538.95,538.6154602,0.062072513
2/23/2015,531.91,542.7591319,2.039655565
2/24/2015,536.09,562.1078099,4.853254091
2/25/2015,543.87,558.2186466,2.638249328
2/26/2015,555.48,561.5893472,1.09983207
2/27/2015,558.4,577.9280439,3.497142532
3/2/2015,571.34,583.1240265,2.062524335
3/3/2015,573.64,579.4856929,1.019052518
3/4/2015,573.37,585.3417727,2.08796635
3/5/2015,575.33,559.3454607,2.778325367
3/6/2015,567.685,562.8360516,0.854161799
3/9/2015,568.85,557.2774251,2.034380743
3/10/2015,555.01,554.4786683,0.095733719
3/11/2015,551.18,556.5316727,0.970948282
3/12/2015,555.51,561.1085436,1.007820489
3/13/2015,547.32,559.8847836,2.295692383
3/16/2015,554.51,558.091806,0.645940732
3/17/2015,550.84,556.4081816,1.010852809
3/18/2015,559.5,564.5246119,0.89805395
3/19/2015,557.99,561.1218441,0.561272437
3/20/2015,560.36,552.9040436,1.330565413
3/23/2015,558.81,558.0537793,0.135326974
3/24/2015,570.19,551.0529841,3.356252468
3/25/2015,558.785,542.1701133,2.973395253
3/26/2015,555.17,539.6739458,2.791226871
3/27/2015,548.34,544.7014557,0.663556237
3/30/2015,552.03,544.546123,1.355701136
3/31/2015,548,545.549867,0.447104569
4/1/2015,542.56,538.1368686,0.815233598
4/2/2015,535.53,549.398217,2.589624663
4/6/2015,536.765,550.8319049,2.620682223
4/7/2015,537.02,545.8466923,1.643643117
4/8/2015,541.61,550.496946,1.640838615
4/9/2015,540.78,553.2229271,2.300922202
4/10/2015,540.01,547.9217223,1.465106625
4/13/2015,539.17,535.42351,0.694862483
4/14/2015,530.39,540.8782645,1.977462721
4/15/2015,532.53,551.9297594,3.642942068
4/16/2015,533.8,546.3428247,2.349723615
4/17/2015,524.05,554.4736951,5.805494733
4/20/2015,535.38,547.0106072,2.172402247
4/21/2015,533.97,543.026824,1.696129743
4/22/2015,539.365,547.7725583,1.558788263
4/23/2015,547,557.2739872,1.878242634
4/24/2015,565.06,549.2750143,2.793506129
4/27/2015,555.37,548.1700048,1.296432143
4/28/2015,553.68,548.0589163,1.015222458
4/29/2015,549.08,537.5392078,2.101841655
4/30/2015,537.34,536.9665244,0.069504514
5/1/2015,537.9,541.5767605,0.683539778
5/4/2015,540.78,530.2835438,1.940984548
5/5/2015,530.8,523.7628734,1.325758586
5/6/2015,524.22,529.3444902,0.977545722
5/7/2015,530.7,538.5619116,1.481422949
5/8/2015,538.22,535.7949556,0.450567497
5/11/2015,535.7,541.3643064,1.057365395
5/12/2015,529.04,530.5389883,0.283341194
5/13/2015,529.62,531.3090481,0.318916979
5/14/2015,538.4,531.4320414,1.294197354
5/15/2015,533.85,531.4780093,0.44431783
5/18/2015,532.3,539.392319,1.332391327
5/19/2015,537.36,540.1550843,0.520151169
5/20/2015,539.27,536.4420465,0.524404001
5/21/2015,542.51,535.8840255,1.221355267
5/22/2015,540.11,539.7889561,0.059440475
5/26/2015,532.32,542.6855893,1.947247771
5/27/2015,539.79,543.2125561,0.634053266
5/28/2015,539.78,536.2920324,0.646183187
5/29/2015,532.11,540.5678829,1.589498954
6/1/2015,533.99,544.3185053,1.934213247
6/2/2015,539.18,548.4220858,1.714100264
6/3/2015,540.31,548.8842891,1.586920301
6/4/2015,536.7,530.5507952,1.145743394
6/5/2015,533.33,523.9609422,1.75670931
6/8/2015,526.83,522.6247931,0.798209454
6/9/2015,526.69,534.6057512,1.502924145
6/10/2015,536.69,532.2064612,0.835405687
6/11/2015,534.61,529.1371294,1.02371273
6/12/2015,532.33,528.3611613,0.745559841
6/15/2015,527.2,528.6758832,0.279947498
6/16/2015,528.15,536.1061683,1.506422095
6/17/2015,529.26,547.9830265,3.537585781
6/18/2015,536.73,550.1838996,2.506641996
6/19/2015,536.69,546.9500654,1.911730302
6/22/2015,538.19,547.0141909,1.639605143
6/23/2015,540.48,545.0589871,0.847207506
6/24/2015,537.84,550.0889441,2.277432716
6/25/2015,535.23,541.925718,1.250998262
6/26/2015,531.69,531.1780867,0.096280412
6/29/2015,521.52,534.5081949,2.490450003
6/30/2015,520.51,527.3489897,1.3139017
7/1/2015,521.84,524.4502838,0.500207688
7/2/2015,523.4,527.068455,0.700889382
7/6/2015,522.86,524.2792657,0.271442775
7/7/2015,525.02,522.4591766,0.487757309
7/8/2015,516.83,526.6372575,1.897578989
7/9/2015,520.68,540.7404147,3.852733865
7/10/2015,530.13,558.826345,5.413076988
7/13/2015,546.55,566.5735025,3.663617699
7/14/2015,561.1,568.3375951,1.289893981
7/15/2015,560.22,594.7040597,6.155449584
7/16/2015,579.85,669.4902386,15.45921163
7/17/2015,672.93,660.1497895,1.899188691
7/20/2015,663.02,658.6502768,0.659063564
7/21/2015,662.3,659.9638306,0.352735823
7/22/2015,662.1,641.4884123,3.113062632
7/23/2015,644.28,629.3193393,2.322074357
7/24/2015,623.56,633.5971659,1.609655188
7/27/2015,627.26,623.9120489,0.533742159
7/28/2015,628,628.8204169,0.130639628
7/29/2015,631.93,632.2104347,0.044377487
7/30/2015,632.59,627.5278503,0.800226002
7/31/2015,625.61,635.4723177,1.576432226
8/3/2015,631.21,635.1157145,0.618766258
8/4/2015,629.25,652.8662228,3.753074735
8/5/2015,643.78,647.3985393,0.562076996
8/6/2015,642.68,637.3701685,0.826201446
8/7/2015,635.3,638.2731324,0.467988723
8/10/2015,633.73,659.8761635,4.125757578
8/11/2015,660.78,658.9832588,0.271912169
8/12/2015,659.56,656.9950791,0.388883638
8/13/2015,656.45,659.3920403,0.448174315
8/14/2015,657.12,662.5142587,0.820894004
8/17/2015,660.87,659.6222977,0.188796936
8/18/2015,656.13,660.5170229,0.668620991
8/19/2015,660.9,644.2827489,2.514336677
8/20/2015,646.83,609.3868363,5.788717853
8/21/2015,612.48,590.7953613,3.540464784
8/24/2015,589.61,588.3836622,0.207991349
8/25/2015,582.06,629.8218816,8.205662925
8/26/2015,628.62,636.8313979,1.306257813
8/27/2015,637.61,634.6755243,0.460230509
8/28/2015,630.38,619.5257821,1.721853154
8/31/2015,618.25,605.6635458,2.035819517
9/1/2015,597.79,618.4546849,3.45684687
9/2/2015,614.34,610.2021535,0.6735434
9/3/2015,606.25,603.8166521,0.401376965
9/4/2015,600.7,617.9839909,2.877308291
9/8/2015,614.66,612.9304544,0.281382486
9/9/2015,612.72,621.2712457,1.395620464
9/10/2015,621.35,625.8573252,0.725408424
9/11/2015,625.77,627.0841688,0.21000827
9/14/2015,623.24,636.5370286,2.13353261
9/15/2015,635.14,638.117843,0.468848292
9/16/2015,635.98,642.9651713,1.09833192
9/17/2015,642.9,629.677291,2.056728733
9/18/2015,629.25,635.0127725,0.915816044
9/21/2015,635.44,622.6534131,2.012241416
9/22/2015,622.69,622.9164165,0.036361029
9/23/2015,622.36,625.0074463,0.425388254
9/24/2015,625.8,611.0014636,2.364738964
9/25/2015,611.97,596.9502969,2.454320164
9/28/2015,594.89,596.0582117,0.196374402
9/29/2015,594.97,611.7412785,2.818844403
9/30/2015,608.42,617.5238462,1.496309495
10/1/2015,611.29,635.420436,3.947461269
10/2/2015,626.91,646.6396678,3.147129226
10/5/2015,641.47,645.5386383,0.634267895
10/6/2015,645.44,644.1495758,0.199929384
10/7/2015,642.36,639.9541666,0.374530384
10/8/2015,639.16,642.9293646,0.589737257
10/9/2015,643.61,649.3633735,0.893922334
10/12/2015,646.67,652.3678906,0.88111256
10/13/2015,652.3,653.4943521,0.183098585
10/14/2015,651.16,663.2200634,1.852089095
10/15/2015,661.74,666.3416619,0.695388206
10/16/2015,662.2,663.6149203,0.213669625
10/19/2015,666.1,654.6225067,1.723088625
10/20/2015,650.28,643.0309041,1.114765321
10/21/2015,642.61,657.6723343,2.343930897
10/22/2015,651.79,699.1920276,7.272592035
10/23/2015,702,708.8065696,0.969596811
10/26/2015,712.78,708.7754973,0.561814689
10/27/2015,708.49,710.4789525,0.280731209
10/28/2015,712.95,717.8830545,0.691921517
10/29/2015,716.92,709.7501406,1.000091973
10/30/2015,710.81,720.9928257,1.432566473
11/2/2015,721.11,730.9369795,1.362757342
11/3/2015,722.16,734.1869198,1.665409296
11/4/2015,728.11,736.6939297,1.178933086
11/5/2015,731.25,734.0812808,0.387183702
11/6/2015,733.76,728.2291235,0.75377188
11/9/2015,724.89,730.7181345,0.804002613
11/10/2015,728.32,736.3366828,1.100708859
