"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
10/30/2017,83.89,83.54881758,0.406702129
10/27/2017,83.81,83.43643638,0.445726789
10/26/2017,78.76,83.4489921,5.953519677
10/25/2017,78.63,81.37268308,3.488087352
10/24/2017,78.86,80.48603169,2.061922006
10/23/2017,78.83,79.59769186,0.973857486
10/20/2017,78.81,79.5669424,0.960464916
10/19/2017,77.91,78.76667931,1.099575554
10/18/2017,77.61,79.48018369,2.409719994
10/17/2017,77.59,79.2671712,2.161581645
10/16/2017,77.65,79.49810063,2.380039441
10/13/2017,77.49,79.32305108,2.365532434
10/12/2017,77.12,78.5585373,1.865323262
10/11/2017,76.42,78.46931993,2.681653932
10/10/2017,76.29,78.233251,2.547189676
10/9/2017,76.29,77.09582805,1.05626956
10/6/2017,76,76.43567256,0.573253372
10/5/2017,75.97,76.52709354,0.733307282
10/4/2017,74.69,76.57593344,2.525014646
10/3/2017,74.26,76.22041468,2.639933586
10/2/2017,74.61,75.17152728,0.752616649
9/29/2017,74.49,75.33333513,1.132145425
9/28/2017,73.87,75.30669567,1.944897352
9/27/2017,73.85,75.03759242,1.608114316
9/26/2017,73.26,75.59290297,3.184415734
9/25/2017,73.26,73.94193659,0.930844381
9/22/2017,74.41,74.84940629,0.590520482
9/21/2017,74.21,75.73488141,2.054819311
9/20/2017,74.94,73.92998544,1.347764295
9/19/2017,75.44,73.31644129,2.814897548
9/18/2017,75.16,75.19928321,0.052266116
9/15/2017,75.31,74.82356448,0.645910927
9/14/2017,74.77,73.24788145,2.035734324
9/13/2017,75.21,73.71818009,1.983539308
9/12/2017,74.68,74.20738281,0.632856446
9/11/2017,74.76,73.8316048,1.24183413
9/8/2017,73.98,72.81672212,1.572422108
9/7/2017,74.34,73.90439999,0.585956429
9/6/2017,73.4,73.65905804,0.352940111
9/5/2017,73.61,72.68019635,1.263148559
9/1/2017,73.94,73.48235614,0.618939487
8/31/2017,74.77,73.38535866,1.851867519
8/30/2017,74.01,74.09259009,0.111593149
8/29/2017,73.05,73.7011232,0.891339081
8/28/2017,72.83,73.73696745,1.245321229
8/25/2017,72.82,72.74492598,0.103095333
8/24/2017,72.69,72.33335464,0.490638826
8/23/2017,72.72,73.04882696,0.452182294
8/22/2017,73.16,72.72157555,0.599267974
8/21/2017,72.15,73.04918212,1.24626766
8/18/2017,72.49,73.02236315,0.734395298
8/17/2017,72.4,72.93116393,0.733651843
8/16/2017,73.65,72.43311565,1.652253027
8/15/2017,73.22,73.36105362,0.192643564
8/14/2017,73.59,73.61374188,0.032262372
8/11/2017,72.5,74.0592229,2.15065227
8/10/2017,71.41,73.31818891,2.672159231
8/9/2017,72.47,72.35597668,0.157338647
8/8/2017,72.79,72.29285291,0.682988173
8/7/2017,72.4,72.80093851,0.553782473
8/4/2017,72.68,72.96727172,0.395255535
8/3/2017,72.15,72.08451406,0.090763598
8/2/2017,72.26,71.87483829,0.53302202
8/1/2017,72.58,72.06365453,0.711415643
7/31/2017,72.72,72.14961302,0.784360531
7/28/2017,73.04,72.40993972,0.862623607
7/27/2017,73.16,72.10257947,1.445353377
7/26/2017,74.05,72.56544404,2.004802107
7/25/2017,74.19,73.67158002,0.698773399
7/24/2017,73.6,74.00705784,0.553067714
7/21/2017,73.79,73.70828685,0.110737431
7/20/2017,74.24,73.32899782,1.227104231
7/19/2017,73.86,73.75764094,0.138585248
7/18/2017,73.3,72.90529838,0.538474244
7/17/2017,73.35,72.77036688,0.790229205
7/14/2017,72.78,72.82784657,0.065741378
